API_CODE^FIELD_ID^FIELD_NAME^UNIT_FLAG^EXEMPT_29_E_FLAG^EXEMPT_29_E_FLAGDUMMY^CREATE_DATE^CREATE_USERNAME^UPDATE_DATE^UPDATE_USERNAME^AREA_CODE^DISTRICT_CODE^PREV_FIELD_ID^CRUDE_ACCUM80^COND_ACCUM80^CTC_ACCUM80^CASEGAS_ACCUM80^NATGAS_ACCUM80^
^0310^BASSA BASSA BAY^N^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^^^^^^
^0314^BASTIAN BAY^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^0046^17751390^43478415^^30978220^1908430300^
^0322^BATEMAN LAKE^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^0047^46534642^18421484^^203513959^1226148562^
^0330^BATON ROUGE^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^1554820^7387^^1200069^308500^
^0338^BAY BAPTISTE^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^0049^65659^1145861^^3308214^101005760^
^0340^BAY BATISTE^N^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^^^^^^
^0345^BAY COURANT^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^^137444^^^2454818^
^0347^BAY COURANT, SOUTH^N^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^^^^^^
^0349^BAY DE CHENE^Y^Y^Y^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^0050^84233568^2067367^^80021648^83055954^
^0360^BAY DENESSE^N^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^3551^^^5633^^
^0371^BAY JAQUE^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^1247^3139159^195048^^4116469^1159403^
^0382^BAY JUNOP^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^0051^740580^388920^^5383058^26142882^
^0393^BAY LA FLEUR^N^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^^134391^^^4834394^
^0395^BAY LIZETTE^Y^N^N^24-APR-1999^CONVALL^26-JAN-2012^SONRIS_DBA^1^2^^^^^^306222^

^7182^OUTSIDE ISLAND, SOUTH^N^N^N^13-SEP-2016^BECKYH^13-SEP-2016^BECKYH^1^2^^^^^^^
^6922^MOUNT OLIVE, NORTH^N^N^N^24-APR-2012^PENNYL^24-APR-2012^PENNYL^1^5^^^^^^^
^7127^ODEN LAKE^N^N^N^14-DEC-2012^BECKYH^14-DEC-2012^BECKYH^1^5^^^^^^^
^3945^FRANKLINTON^N^N^N^02-JAN-2013^BECKYH^24-JUL-2014^BRADLEYG^1^2^^^^^^^
^1707^BOGUE CHITTO^N^N^N^07-JAN-2015^BECKYH^08-JAN-2015^BECKYH^1^2^^^^^^^
^6730^MIDDLE COLYELL CREEK^N^N^N^12-JUN-2015^BECKYH^12-JUN-2015^BECKYH^1^2^^^^^^^
^1831^BOUTTE, NORTHEAST^N^N^N^21-JAN-2016^BECKYH^21-JAN-2016^BECKYH^1^2^^^^^^^
